Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Aaron;0;0;12;0;15;20;24;21;31;35;43;40;41;43;66;55
Abbas;0;0;0;0;0;0;0;0;0;11;13;18;11;20;12;17
Abbe;0;0;0;0;11;20;16;21;27;39;26;37;45;51;59;69
Abdallah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11
Abdirahman;15;15;21;20;16;29;16;12;22;16;21;24;29;30;33;32
Abdulahi;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;11
Abdullah;0;12;10;0;0;14;10;10;0;11;0;20;24;22;28;27
Abdullahi;12;0;17;12;0;14;16;10;14;10;14;15;13;24;18;26
Abel;0;0;0;0;0;0;10;0;0;0;0;0;0;0;11;0
Abraham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10
Adam;614;712;797;695;662;670;626;579;567;526;463;502;470;478;452;464
Adel;10;0;0;0;11;0;10;0;0;13;0;0;10;0;0;0
Adem;0;0;0;0;0;0;0;0;0;12;0;0;0;10;14;12
Adin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Adis;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Adnan;13;11;11;0;11;19;13;0;16;15;17;19;16;18;18;12
Adrian;154;147;154;149;179;200;238;229;263;255;263;279;275;298;340;397
Adriano;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
Agaton;0;0;0;10;0;0;10;0;16;0;16;16;21;25;11;15
Agust;0;0;0;0;0;11;10;0;0;0;0;16;0;17;15;0
Ahmad;23;26;25;21;26;24;22;29;23;33;31;36;38;41;33;38
Ahmed;51;58;62;54;51;46;47;64;47;56;65;63;76;72;85;86
Aiden;0;0;0;0;0;0;0;0;0;0;0;0;0;13;12;16
Ajdin;0;0;0;0;0;14;0;0;15;0;0;0;13;18;0;13
Akram;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
Aksel;0;0;0;0;0;0;0;0;10;0;0;0;13;0;0;11
Alan;22;12;14;15;22;22;19;23;19;17;19;13;24;16;13;24
Aland;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
Albert;62;48;78;79;68;85;76;77;88;90;82;81;102;108;86;99
Albin;669;683;731;845;921;921;801;769;749;695;613;602;580;525;480;454
Aldin;0;0;0;10;0;11;18;22;15;22;16;11;20;11;19;0
Alec;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
Alejandro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Aleksandar;17;16;13;10;11;14;10;0;0;12;0;10;0;0;0;15
Aleksander;10;0;0;0;0;10;0;10;0;10;14;12;13;17;11;19
Alen;11;10;0;0;14;12;0;10;14;0;0;10;0;0;0;0
Alessandro;0;11;0;0;0;0;10;0;12;10;0;0;0;13;10;0
Alex;211;208;190;210;233;215;210;202;224;231;263;220;232;168;182;149
Alexander;1066;1009;995;936;1065;1015;962;941;896;767;838;821;866;717;738;669
Alexandros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Alexis;0;0;0;0;0;0;0;0;10;0;10;0;0;10;15;24
Alfons;24;30;45;51;63;62;95;99;100;107;114;104;103;99;85;86
Alfred;129;135;145;161;258;269;268;299;303;319;362;420;478;431;495;473
Algot;0;14;22;16;36;46;56;64;65;82;107;113;121;124;115;125
Ali;99;79;87;111;97;123;103;100;112;118;128;128;144;144;152;143
Allan;13;16;11;14;16;17;19;17;32;25;29;37;37;32;47;32
Almin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Almir;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Altin;0;0;0;0;0;10;0;10;0;0;12;12;0;0;0;0
Alvar;0;0;10;0;11;0;24;40;62;65;74;70;96;96;93;110
Alve;0;0;0;0;11;14;17;24;38;31;29;46;62;70;84;77
Alvin;35;18;40;62;84;156;250;253;348;364;413;464;445;373;335;291
Alwin;0;0;0;0;0;0;17;26;34;45;54;54;43;42;40;51
Amadeus;13;21;15;31;24;24;31;28;27;30;30;30;35;15;38;51
Amandus;0;0;0;0;0;0;0;0;0;10;0;0;0;0;17;21
Amar;0;0;12;14;0;13;12;13;15;0;10;23;16;16;14;14
Amel;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
Amer;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amin;17;0;16;12;0;23;11;23;22;12;33;22;23;26;25;24
Amir;32;26;27;26;26;29;31;37;26;45;46;46;64;66;70;81
Amos;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;10
Anas;0;0;0;0;0;11;0;0;10;23;23;34;42;39;26;67
Anders;67;53;45;38;34;35;37;28;23;14;25;11;13;0;12;16
Andi;0;0;0;0;0;0;11;0;10;0;0;0;0;0;15;14
André;169;130;120;119;115;112;94;102;102;60;55;43;44;43;32;39
Andreas;543;481;370;317;298;228;204;173;116;102;62;56;58;50;44;44
Andréas;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andrej;0;0;0;0;0;0;0;0;0;12;11;0;0;11;10;0
Andrew;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
Andy;15;0;11;15;17;14;16;17;13;16;15;14;15;0;13;10
Anes;0;0;0;0;0;0;0;16;0;10;0;0;0;0;0;0
Angelo;0;0;0;0;15;15;27;27;28;25;26;24;25;29;33;31
Ante;0;0;0;0;0;0;12;13;11;10;17;0;0;11;11;0
Anthon;18;15;20;15;22;10;14;15;14;14;10;0;10;0;10;0
Anthony;20;18;20;35;34;21;16;25;25;18;29;28;29;21;21;17
Anton;1067;1091;1062;991;973;991;914;840;887;809;694;654;616;648;602;570
Antoni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Antonio;36;31;43;41;42;43;43;43;39;41;36;31;33;28;28;22
Aram;0;0;0;0;0;0;0;0;0;0;0;10;10;0;13;12
Aras;0;0;0;0;0;0;0;0;0;0;10;0;0;0;10;10
Arda;0;0;0;0;0;0;0;0;28;30;15;26;17;11;12;0
Arian;18;13;18;0;13;22;20;17;13;10;17;23;18;19;22;22
Arild;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Arin;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
Arman;0;16;0;11;0;10;17;10;10;12;14;17;16;14;17;10
Armin;20;10;19;12;27;21;24;14;20;11;18;18;16;0;16;17
Aron;37;43;61;49;70;71;76;87;87;114;98;108;91;106;108;126
Arthur;0;0;0;13;14;15;0;13;12;20;19;29;34;45;46;53
Artin;0;10;0;0;0;0;13;0;0;11;10;14;11;0;16;10
Artur;0;0;0;0;0;0;0;0;11;12;17;10;10;13;14;21
Arve;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
Arvid;213;203;231;286;326;411;413;442;475;485;500;544;589;563;531;565
Arwid;0;0;0;0;0;0;0;0;10;13;0;0;0;0;10;10
Arvin;14;0;11;11;10;0;15;21;14;14;21;22;26;13;20;18
Aryan;0;0;0;0;0;0;0;0;0;0;12;0;12;10;0;14
Assar;0;0;0;0;0;0;0;0;17;10;22;20;26;14;23;19
Aston;0;0;0;0;0;0;0;15;19;25;29;57;51;51;78;84
Astor;0;0;0;0;0;0;0;0;0;10;0;14;13;16;10;13
Atle;0;0;0;0;11;0;13;10;0;17;12;16;0;20;14;18
August;84;87;105;104;133;130;108;116;110;108;139;153;166;180;222;240
Axel;495;562;538;581;610;685;754;745;741;691;676;705;675;670;624;658
Ayman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;12
Ayub;0;0;0;0;0;10;11;0;10;0;16;16;12;19;15;20
Aziz;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
Baran;0;0;0;0;0;0;0;22;12;0;14;0;13;0;0;0
Bastian;0;0;0;14;11;17;14;17;20;31;23;32;43;45;46;57
Ben;0;0;0;0;0;0;0;12;0;18;11;14;20;28;26;33
Benjamin;201;214;228;258;340;316;309;310;338;370;387;418;450;432;405;397
Benyamin;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13
Beppe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0
Berat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;19
Bernard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Bertil;0;0;0;0;0;0;0;0;0;0;11;0;14;24;17;28
Bilal;14;13;0;11;19;10;12;23;12;17;18;19;20;18;29;37
Bill;0;0;0;0;0;0;0;0;0;0;10;15;19;27;43;55
Billy;19;18;21;19;11;0;19;14;14;0;14;28;25;39;51;46
Birger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11
Birk;14;16;12;10;14;12;19;11;11;0;11;14;15;23;16;16
Björn;67;50;48;52;24;39;40;31;28;28;35;41;40;30;48;42
Bo;0;0;0;0;0;0;0;0;10;14;15;14;29;28;42;52
Bob;0;0;0;0;0;0;0;0;0;0;0;0;18;13;0;15
Bosse;0;0;0;0;0;0;0;0;0;0;0;0;0;23;25;25
Brandon;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0
Brian;10;16;0;0;13;0;10;11;0;16;10;10;10;12;10;0
Bror;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;20
Bruno;0;0;0;0;12;13;21;23;41;48;44;50;28;36;39;35
Buster;0;0;0;0;0;0;0;0;16;18;14;14;10;0;0;0
Caesar;0;0;0;0;0;0;14;12;19;17;23;24;18;10;14;11
Calle;27;29;41;41;40;33;51;46;49;26;31;25;44;21;22;15
Carl;409;409;410;416;390;391;369;364;286;297;245;276;208;217;166;184
Carl0Johan;0;0;0;0;0;0;19;10;0;0;11;0;0;0;0;0
