Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Aaliyah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;14
Abigail;0;0;0;0;0;0;0;0;0;0;10;0;13;15;18;13
Ada;0;0;0;14;0;12;12;14;14;12;14;21;25;22;23;24
Adela;0;0;10;0;0;12;0;0;12;13;0;0;13;0;15;10
Adele;0;0;0;0;0;0;0;0;0;0;10;0;0;14;44;54
Adèle;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Adelia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Adelina;12;0;0;10;10;0;0;0;0;0;0;10;0;13;12;0
Adelle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Adina;22;26;18;29;22;15;25;23;24;27;12;23;15;0;19;10
Adna;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;12
Adriana;0;0;0;0;12;0;0;12;0;15;19;23;20;19;23;29
Agnes;222;256;271;362;397;441;472;476;921;618;580;575;586;570;570;581
Aicha;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
Aida;15;20;16;0;10;0;10;14;13;11;12;11;13;14;13;18
Aina;0;0;0;0;0;0;16;12;15;13;12;14;10;11;0;12
Aisha;14;0;10;12;15;13;28;33;26;26;52;44;43;54;68;80
Ajla;15;10;0;0;22;18;28;27;26;26;19;16;19;22;17;27
Alba;0;0;14;14;22;14;17;19;23;15;28;32;25;33;33;33
Albina;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
Alde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Alea;0;0;0;0;0;0;0;0;0;0;0;0;13;12;20;18
Aleksandra;10;15;0;10;12;0;0;0;0;10;0;0;10;0;10;0
Alessia;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;12
Alexandra;279;373;298;247;279;190;205;186;159;138;120;118;115;106;96;101
Alexia;11;0;0;0;0;11;0;11;0;15;15;23;24;25;32;42
Alexis;0;0;0;0;0;0;0;0;0;0;0;0;16;12;0;0
Alexsandra;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
Aleyna;0;0;0;0;0;0;0;0;12;0;15;0;0;0;0;0
Alia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10
Alice;389;375;455;443;514;664;755;886;799;779;747;953;844;966;919;879
Alicia;235;180;189;211;258;320;339;360;367;358;433;437;435;404;512;602
Alida;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
Alina;21;22;18;22;29;34;58;42;46;34;46;53;58;58;57;82
Aline;0;0;0;0;0;0;0;0;0;0;10;15;11;0;0;11
Alisa;0;0;0;0;0;0;10;14;14;18;13;14;24;20;26;29
Alisha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Alissa;0;0;0;0;0;0;10;0;0;13;0;16;17;24;25;27
Aliya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Allie;0;0;0;0;0;0;0;0;0;0;0;12;0;12;14;24
Allis;0;0;0;0;10;0;18;19;18;24;14;19;16;12;12;13
Ally;0;0;0;0;0;0;0;0;0;0;14;12;11;22;17;23
Alma;144;218;235;292;339;373;401;423;415;452;441;484;506;458;410;447
Alva;290;354;451;546;683;830;833;844;895;753;701;754;699;592;569;590
Alwa;0;0;0;0;17;19;11;17;21;27;21;16;12;26;26;17
Alvina;0;0;10;0;10;11;11;14;14;19;17;15;18;20;18;12
Alyssa;0;0;0;0;0;0;0;0;0;0;12;0;11;0;11;11
Amal;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
Amalia;16;24;14;21;12;19;21;19;14;19;13;14;22;24;12;21
Amanda;1037;974;897;853;787;739;702;667;549;598;597;538;474;431;374;353
Amber;0;0;0;0;0;0;11;13;0;0;0;0;11;0;12;0
Amela;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
Amelia;68;37;23;28;34;27;40;115;149;101;69;78;84;99;87;105
Amelie;22;17;20;23;32;43;44;56;57;42;45;49;54;52;54;64
Amélie;0;0;0;0;0;0;0;11;0;11;0;11;11;14;17;12
Amie;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;12
Amilia;0;0;0;0;12;11;0;20;16;16;18;13;23;21;28;22
Amina;37;30;33;40;37;41;43;32;56;49;44;61;68;60;56;84
Amira;0;10;0;0;17;0;21;14;14;23;17;16;29;30;45;42
Amna;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
Amy;15;11;14;19;19;26;16;26;28;28;20;29;19;28;29;20
Ana;0;0;0;0;0;0;0;0;0;0;12;0;10;0;0;0
Anastasia;22;10;12;20;14;15;27;19;22;13;24;13;13;21;29;27
Anastasija;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10
Andrea;97;83;102;97;84;98;78;60;51;55;49;35;34;46;42;23
Andréa;13;10;15;15;16;17;0;12;0;0;0;0;0;0;0;0
Angela;13;12;0;14;18;16;20;0;19;0;20;17;21;18;23;14
Angelica;112;94;64;73;72;64;44;45;40;43;37;30;30;19;25;11
